rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross
48, 85248, Usana Amphitheatre, Salt Lake City, UT, $3268425.00
75, 39767, Harveys Lake Tahoe Outdoor Arena, Stateline, NV, $3266091.40
54, 72210, Amphitheater At The Wharf, Orange Beach, AL, $3246814.30
49, 84841, Toyota Pavilion At Montage Mountain, Scranton, PA, $3128819.50
50, 80802 ,Comfort Dental Amphitheatre, Englewood, CO, $3103284.00
63, 62099, Oklahoma City Zoo Amphitheatre, Oklahoma City, OK, $2907511.50
58, 64344, Minnesota State Fair Grandstand, Saint Paul, MN, $2789774.00
60, 63506, White River Amphitheatre, Auburn, WA, $2621688.00
64, 61273, St. Augustine Amphitheatre, Saint Augustine, FL, $2585064.50
47, 87469, Fraze Pavilion For The Perf. Arts, Kettering, OH, $2562834.00
61, 62944, Sleep Train Pavilion At Concord, Concord, CA, $2525643.80
62, 62778, Tanglewood, Lenox, MA, $2512437.00
56, 67743, Mann Center For Performing Arts, Philadelphia, PA, $2492771.10
71, 48117, Mohegan Sun Grandstand, Syracuse, NY, $2484903.00
69, 53206, Charter One Pavilion @ Northerly Island, Chicago, IL, $2409690.00
55, 71708, Festival Pier At Penn's Landing, Philadelphia, PA, $2396164.60
95, 19397, Hope Estate Winery, Pokolbin, AUSTRALIA, $2367650.80
73, 41943, Ironstone Vineyards, Murphys, CA, $2260420.70
57, 66100, Harrah's Casino - Stir Concert Cove, Council Bluffs, IA, $2250386.00
68, 55560, Bank Of America Pavilion, Boston, MA, $2194678.50
70, 51618, Cuthbert Amphitheater, Eugene, OR, $1948965.00
37, 139917, Meadow Brook Music Festival, Rochester, MI, $1778127.80
74, 40841, San Manuel Amphitheater, Devore, CA, $1692443.70
72, 45057, Rumsey Playfield / Central Park, New York, NY, $1572355.00
76, 35981, Koka Booth Amphitheatre At Regency Park, Cary, NC, $1475200.00
66, 56996, Ravinia Festival At Ravinia Park, Highland Park, IL ,$1435011.00
92, 21300, Waldbühne, Berlin, GERMANY, $1336192.50
85, 26952, McMenamins Edgefield Amphitheater, Troutdale, OR, $1327185.50
84, 28654, Grandstand @ California Mid State Fair, Paso Robles, CA, $1260999.00
78, 31605, Time Warner Cable Amph. @ Tower City, Cleveland, OH, $1219023.00
83, 28758, Marymoor Amphitheatre, Redmond, WA, $1208942.50
80, 30635, Minnesota Zoo Amphitheater, Apple Valley, MN, $1170298.50
67, 55680, Oregon Zoo Amphitheatre, Portland, OR, $1102815.50
77, 33319, Whitewater Amphitheatre, New Braunfels, TX, $1010113.00
86, 25559, Verizon Wireless Center Birmingham, Pelham, AL, $997411.00
90, 21458, Les Schwab Amphitheater, Bend, OR, $959030.00
91, 21330, Open Sky Theater @ Harrah's Valley Center, CA, $838139.00
87, 22604, Paladium @ Paramount's Carowinds, Charlotte, NC, $835245.00
82, 29879, Ford Park, Beaumont, TX, $818586.80
93, 21124, Westfair Amphitheatre, Council Bluffs, IA, $781655.00
89, 22388, Bayfront Park Amphitheater, Miami, FL, $743495.20
79, 30644, Woodland Park Zoo, Seattle, WA, $735887.00
99, 16581, Outlaw Field At Idaho Botanical Gardens, Boise, ID, $695135.00
88, 22601, Concrete Street Amphitheater, Corpus Christi, TX, $682972.00
97, 18569, Prospect Park Bandshell, Brooklyn, NY, $647417.00
100, 16077, Ntelos Wireless Pavilion, Portsmouth, VA, $644693.50
96, 19383, Sleep Country Amphitheater, Ridgefield, WA, $641692.00
81, 30505, The Showgrounds @ Sam Houston, Houston, TX , $560698.00
94, 19552, Charter Amphitheatre, Simpsonville, SC, $539847.00
98, 16764, Snowden Grove Amphitheater, Southaven, MS, $413198.00
